"course","calssnumber","email","name","badgenumber","password"
Python实践-2020,117876,5175676466@bit.edu.cn,杨桂花,5175676466,12345678
Python实践-2020,468454,9934665777@bit.edu.cn,宁龙,9934665777,12345678
Python实践-2020,656879,6319617457@bit.edu.cn,陶军,6319617457,12345678
Python实践-2020,254751,5375585739@bit.edu.cn,陈东,5375585739,12345678
Python实践-2020,967974,3966734511@bit.edu.cn,萧丽,3966734511,12345678
Python实践-2020,672826,3114122557@bit.edu.cn,王红,3114122557,12345678
Python实践-2020,299429,4169274458@bit.edu.cn,张坤,4169274458,12345678
Python实践-2020,563476,7831479939@bit.edu.cn,蒲建军,7831479939,12345678
Python实践-2020,333589,6864656877@bit.edu.cn,宫雪梅,6864656877,12345678
Python实践-2020,637224,5845747687@bit.edu.cn,徐红霞,5845747687,12345678
Python实践-2020,154149,9525675792@bit.edu.cn,黎红梅,9525675792,12345678
Python实践-2020,725816,1438228787@bit.edu.cn,刘楠,1438228787,12345678
Python实践-2020,621451,4537591223@bit.edu.cn,王彬,4537591223,12345678
Python实践-2020,364958,6214431685@bit.edu.cn,董建,6214431685,12345678
Python实践-2020,111258,5359219237@bit.edu.cn,周丽娟,5359219237,12345678
Python实践-2020,868676,3621342439@bit.edu.cn,李桂荣,3621342439,12345678
Python实践-2020,257623,9788792974@bit.edu.cn,姜林,9788792974,12345678
Python实践-2020,142499,1199465197@bit.edu.cn,李静,1199465197,12345678
Python实践-2020,861514,6389741143@bit.edu.cn,王欣,6389741143,12345678
Python实践-2020,913458,8563232195@bit.edu.cn,张涛,8563232195,12345678
Python实践-2020,964986,1158922746@bit.edu.cn,关颖,1158922746,12345678
Python实践-2020,294261,9796684782@bit.edu.cn,莫想,9796684782,12345678
Python实践-2020,988326,2858111735@bit.edu.cn,张芳,2858111735,12345678
Python实践-2020,377249,5592858589@bit.edu.cn,杨冬梅,5592858589,12345678
Python实践-2020,531968,1191468886@bit.edu.cn,张坤,1191468886,12345678
Python实践-2020,465115,8314449167@bit.edu.cn,孙兵,8314449167,12345678
Python实践-2020,137824,5465793847@bit.edu.cn,陈春梅,5465793847,12345678
Python实践-2020,327289,4818267472@bit.edu.cn,陆梅,4818267472,12345678
Python实践-2020,628246,2778838392@bit.edu.cn,李博,2778838392,12345678
Python实践-2020,631478,4661728814@bit.edu.cn,许芳,4661728814,12345678
Python实践-2020,835433,9336162875@bit.edu.cn,吕红霞,9336162875,12345678
Python实践-2020,971933,6148757669@bit.edu.cn,张利,6148757669,12345678
Python实践-2020,887895,2942586436@bit.edu.cn,张畅,2942586436,12345678
Python实践-2020,926746,5235317475@bit.edu.cn,王建平,5235317475,12345678
Python实践-2020,829271,8555768634@bit.edu.cn,陈婷,8555768634,12345678
Python实践-2020,262113,4945224731@bit.edu.cn,李璐,4945224731,12345678
Python实践-2020,143115,9883648557@bit.edu.cn,张波,9883648557,12345678
Python实践-2020,239886,7276531998@bit.edu.cn,李荣,7276531998,12345678
Python实践-2020,968717,7338652171@bit.edu.cn,章旭,7338652171,12345678
Python实践-2020,328219,4257426885@bit.edu.cn,朱杨,4257426885,12345678
Python实践-2020,714244,1612828618@bit.edu.cn,王莉,1612828618,12345678
Python实践-2020,154594,6473431733@bit.edu.cn,向畅,6473431733,12345678
Python实践-2020,658266,2853362681@bit.edu.cn,朱玉兰,2853362681,12345678
Python实践-2020,913456,7283899959@bit.edu.cn,周超,7283899959,12345678
Python实践-2020,723759,2687739292@bit.edu.cn,魏想,2687739292,12345678
Python实践-2020,845275,9572924937@bit.edu.cn,萧丽华,9572924937,12345678
Python实践-2020,642759,8951973585@bit.edu.cn,陈晨,8951973585,12345678
Python实践-2020,524816,5253481385@bit.edu.cn,唐桂珍,5253481385,12345678
Python实践-2020,341414,7494637755@bit.edu.cn,王桂英,7494637755,12345678
Python实践-2020,865779,3711786615@bit.edu.cn,阎慧,3711786615,12345678
Python实践-2020,234955,9788962131@bit.edu.cn,周丽,9788962131,12345678
Python实践-2020,675366,5668663181@bit.edu.cn,杨明,5668663181,12345678
Python实践-2020,895291,5525885786@bit.edu.cn,秦冬梅,5525885786,12345678
Python实践-2020,612896,4497618742@bit.edu.cn,夏伟,4497618742,12345678
Python实践-2020,815813,9289678266@bit.edu.cn,贾斌,9289678266,12345678
Python实践-2020,483825,8554695737@bit.edu.cn,王慧,8554695737,12345678
Python实践-2020,859131,2317274394@bit.edu.cn,李涛,2317274394,12345678
Python实践-2020,153341,3163675685@bit.edu.cn,邹淑兰,3163675685,12345678
Python实践-2020,343835,2417364853@bit.edu.cn,陈桂荣,2417364853,12345678
Python实践-2020,739327,4873913967@bit.edu.cn,徐桂荣,4873913967,12345678
Python实践-2020,887715,5483791464@bit.edu.cn,毕淑兰,5483791464,12345678
Python实践-2020,495521,7135653954@bit.edu.cn,邵飞,7135653954,12345678
Python实践-2020,569989,3261457351@bit.edu.cn,刘柳,3261457351,12345678
Python实践-2020,473714,5428984495@bit.edu.cn,任坤,5428984495,12345678
Python实践-2020,872324,7443974681@bit.edu.cn,李宁,7443974681,12345678
Python实践-2020,831277,9236383339@bit.edu.cn,梁建军,9236383339,12345678
Python实践-2020,283915,6358625957@bit.edu.cn,曹建平,6358625957,12345678
Python实践-2020,188642,9752455787@bit.edu.cn,周斌,9752455787,12345678
Python实践-2020,235552,2429264273@bit.edu.cn,张丽,2429264273,12345678
Python实践-2020,796398,4492177414@bit.edu.cn,刘莹,4492177414,12345678
Python实践-2020,147179,7741529224@bit.edu.cn,魏帆,7741529224,12345678
Python实践-2020,521252,5749551551@bit.edu.cn,李欢,5749551551,12345678
Python实践-2020,399388,1917756532@bit.edu.cn,陶敏,1917756532,12345678
Python实践-2020,426649,4644464125@bit.edu.cn,禹伟,4644464125,12345678
Python实践-2020,717134,3877824739@bit.edu.cn,赵明,3877824739,12345678
Python实践-2020,845138,9764365383@bit.edu.cn,王玉华,9764365383,12345678
Python实践-2020,199587,2713797355@bit.edu.cn,张婷,2713797355,12345678
Python实践-2020,589386,7231959859@bit.edu.cn,叶欣,7231959859,12345678
Python实践-2020,881674,2423424815@bit.edu.cn,张志强,2423424815,12345678
Python实践-2020,179548,9442451322@bit.edu.cn,王秀芳,9442451322,12345678
Python实践-2020,718964,6923248219@bit.edu.cn,余彬,6923248219,12345678
Python实践-2020,783973,9742114337@bit.edu.cn,田欣,9742114337,12345678
Python实践-2020,433964,9524853463@bit.edu.cn,袁燕,9524853463,12345678
Python实践-2020,959829,2976699372@bit.edu.cn,冯丽娟,2976699372,12345678
Python实践-2020,746781,7566634784@bit.edu.cn,余涛,7566634784,12345678
Python实践-2020,926688,3887287967@bit.edu.cn,赖红霞,3887287967,12345678
Python实践-2020,514294,5279452197@bit.edu.cn,陈想,5279452197,12345678
Python实践-2020,273571,7942824932@bit.edu.cn,鞠阳,7942824932,12345678
Python实践-2020,674329,3639877547@bit.edu.cn,张秀英,3639877547,12345678
Python实践-2020,547191,5975397647@bit.edu.cn,朱雷,5975397647,12345678
Python实践-2020,391758,6466147985@bit.edu.cn,徐桂荣,6466147985,12345678
Python实践-2020,796496,2623653167@bit.edu.cn,冯颖,2623653167,12345678
Python实践-2020,291922,5591428622@bit.edu.cn,李红,5591428622,12345678
Python实践-2020,498117,6369513465@bit.edu.cn,李文,6369513465,12345678
Python实践-2020,642755,8288739312@bit.edu.cn,杨军,8288739312,12345678
Python实践-2020,928831,8395283313@bit.edu.cn,马金凤,8395283313,12345678
Python实践-2020,796564,7989958489@bit.edu.cn,李柳,7989958489,12345678
Python实践-2020,411984,2814973434@bit.edu.cn,李文,2814973434,12345678
Python实践-2020,382679,3688217922@bit.edu.cn,赵宇,3688217922,12345678
Python实践-2020,796732,8934118758@bit.edu.cn,季淑华,8934118758,12345678
